id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.46E+18,1.46E+18,2021-11-07 07:55:21 Malay Peninsula Standard Time,11/7/2021,7:55:21,800,70452119,heyitsurban,uɐqɹn,,"@PaulPGUK Yes, Big Bird is (canonically) 6 years old and tweeted that he got the COVID vaccine now that it is approved for his age group and Conservatives are furious",en,[],[],[],1,0,2,[],[],https://twitter.com/heyitsurban/status/1457134540196089858,FALSE,,0,,,,,,,,"[{'screen_name': 'PaulPGUK', 'name': 'Paul (cLoThEs RiPpInG sCeNeS)🔞', 'id': '896142775950995456'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:55:15 Malay Peninsula Standard Time,11/7/2021,7:55:15,800,9.85E+17,doitfordon,My Brother's Wings,,📢Have you heard? The CDC now recommends everyone ages 5 &amp; older get a COVID-19 vaccine to help protect against COVID-19. Learn more at  https://t.co/6VpIyRyno1  https://t.co/e273w1WPP8,en,[],['https://www.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/children-teens.html'],['https://pbs.twimg.com/media/FDjHQUrX0AUKPHV.jpg'],0,0,0,[],[],https://twitter.com/DoItForDon/status/1457134516917710851,FALSE,,1,https://pbs.twimg.com/media/FDjHQUrX0AUKPHV.jpg,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:55:08 Malay Peninsula Standard Time,11/7/2021,7:55:08,800,1.33E+18,aaronthomm,Aaron Thomas,,"@Dee56401857 @MarshaBlackburn Check the date. Flu vaccines have been required at many hospitals for a long time. It’s not every hospital, just like every healthcare facility doesn’t require the COVID vaccine.  https://t.co/xtfovugswB",en,[],['https://nurse.org/articles/nurses-fired-decline-flu-vaccine/'],[],1,0,0,[],[],https://twitter.com/aaronthomm/status/1457134487200993281,FALSE,,0,,,,,,,,"[{'screen_name': 'Dee56401857', 'name': 'Dee', 'id': '1433438659643068417'}, {'screen_name': 'MarshaBlackburn', 'name': 'Sen. Marsha Blackburn', 'id': '278145569'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:55:03 Malay Peninsula Standard Time,11/7/2021,7:55:03,800,1461963132,laurelevyfilms,Laure Levy,,"1st alert: May 31, 21 doctors on Israel’s Public Emergency Council for the Covid-19 Crisis wrote an open letter warning that they were seeing 20 times the usual rate of myocarditis (heart muscle inflammation) in the younger age group in the few days after vaccination @mikeparry8",en,"[{'screen_name': 'mikeparry8', 'name': 'mike parry', 'id': '263650684'}]",[],[],1,2,3,[],[],https://twitter.com/laurelevyfilms/status/1457134464581185544,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:55:02 Malay Peninsula Standard Time,11/7/2021,7:55:02,800,20955533,dradfinch,Dr. Aikyna D. Finch,,The New Qualifier: COVID-19 Vaccination Status and Your Job Search  https://t.co/BmcBtQOCQp  https://t.co/Le5IyekOz0,en,[],['http://ow.ly/C4cb1034Y6w'],['https://pbs.twimg.com/media/FDjIEo3XsAgL6tn.jpg'],0,0,2,[],[],https://twitter.com/DrADFinch/status/1457134463343894536,FALSE,,1,https://pbs.twimg.com/media/FDjIEo3XsAgL6tn.jpg,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:54:58 Malay Peninsula Standard Time,11/7/2021,7:54:58,800,400380340,debbiewhite14,Debbie White,,Will I get a tax discount as I should not pay for the additional pressure and financial pressure on the health system because of those who refuse to have the Covid vaccine? The pandemic is over for us Obviously I am not included if those who are exempt for health reasons.,en,[],[],[],0,0,0,[],[],https://twitter.com/DebbieWhite14/status/1457134444804915200,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:54:56 Malay Peninsula Standard Time,11/7/2021,7:54:56,800,1.10E+18,ahmad69138914,Ahmad,,"@straits_times During covid lockdown, we dont have this issue. After vaccine roll out and BOOSTER, PROBLEM start. And will never stop. Coincidence. You guess.",en,[],[],[],0,0,1,[],[],https://twitter.com/Ahmad69138914/status/1457134436068192261,FALSE,,0,,,,,,,,"[{'screen_name': 'straits_times', 'name': 'The Straits Times', 'id': '37874853'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:54:55 Malay Peninsula Standard Time,11/7/2021,7:54:55,800,429356885,peeler05,Andrew,,"@DrJesseMorse @Dynasty_Addicts @jlarkytweets So do you think the ""side effects"" of getting the vaccine outway the side effects of getting covid?",en,[],[],[],0,0,0,[],[],https://twitter.com/peeler05/status/1457134431941111810,FALSE,,0,,,,,,,,"[{'screen_name': 'DrJesseMorse', 'name': 'Jesse Morse, MD', 'id': '36134224'}, {'screen_name': 'Dynasty_Addicts', 'name': 'The Commish Dynasty', 'id': '1215998118090682374'}, {'screen_name': 'jlarkytweets', 'name': 'Josh Larky ↗️', 'id': '891363089655967746'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:54:49 Malay Peninsula Standard Time,11/7/2021,7:54:49,800,1.31E+18,john71012947,John,,"Jimmy Kimmel Unloads on Aaron ‘Karen’ Rodgers for COVID Vaccine Lies//jimmy is not Angel himself either, he is so fake, greedy and Americans know who is Jimmy pretentious man. Remember what Jimmy has done past people did not forget.",en,[],[],[],0,0,0,[],[],https://twitter.com/John71012947/status/1457134405256822788,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:54:49 Malay Peninsula Standard Time,11/7/2021,7:54:49,800,267478778,herustar,BidenSaidI’mNotBlack,,@NMckenzie77 @Skellyturf @jemelehill @KizzyPhD Hint… that was for EBOLA.  This CoVid vaccine was even faster than that…  Warp speed son.,en,[],[],[],1,0,0,[],[],https://twitter.com/herustar/status/1457134405101789187,FALSE,,0,,,,,,,,"[{'screen_name': 'NMckenzie77', 'name': 'Nathan McKenzie', 'id': '2927707488'}, {'screen_name': 'Skellyturf', 'name': 'Scott', 'id': '1212933260046528512'}, {'screen_name': 'jemelehill', 'name': 'Jemele Hill', 'id': '35586563'}, {'screen_name': 'KizzyPhD', 'name': 'KizzyPhD', 'id': '1215444012322172928'}]",,,,
